Category,Description,Nutrient Data Bank Number,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Sugar Total,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,desc_lower,food_group,egg_form,base_food
Romaine lettuce,"romaine lettuce, raw",72116000,2.87,0,1.3,1.36,0.78,0.006,0.082,0.02,0.15,36,0.029,0.86,13.0,29,194.0,28,0.18,370,0.0,0.09,9.2,0.22,126.3,"romaine lettuce, raw",vegetable,,romaine lettuce
Kale,"kale, raw",72119190,4.42,0,4.1,2.92,0.8,0.104,0.673,0.178,1.49,254,0.053,1.6,33.0,55,348.0,53,0.39,241,0.0,0.147,93.4,0.66,390.0,"kale, raw",vegetable,,kale
Spinach,"spinach, raw",72125100,3.63,0,2.2,2.86,0.42,0.01,0.165,0.063,0.39,99,0.13,2.71,79.0,49,558.0,79,0.53,469,0.0,0.195,28.1,2.03,482.9,"spinach, raw",vegetable,,spinach
Broccoli,"broccoli, raw",72201100,6.64,0,2.6,2.82,1.7,0.031,0.112,0.114,0.37,47,0.049,0.73,21.0,66,316.0,33,0.41,31,0.0,0.175,89.2,0.78,101.6,"broccoli, raw",vegetable,,broccoli
Carrots,"carrots, raw",73101010,9.58,0,2.8,0.93,4.74,0.012,0.102,0.032,0.24,33,0.045,0.3,12.0,35,320.0,69,0.24,835,0.0,0.138,5.9,0.66,13.2,"carrots, raw",vegetable,,carrots
Tomatoes,"tomatoes, raw",74101000,3.89,0,1.2,0.88,2.63,0.031,0.083,0.028,0.2,10,0.059,0.27,11.0,24,237.0,5,0.17,42,0.0,0.08,13.7,0.54,7.9,"tomatoes, raw",vegetable,,tomatoes
Green beans,"green beans, raw",75101800,6.97,0,2.7,1.83,3.26,0.01,0.113,0.05,0.22,37,0.069,1.03,25.0,38,211.0,6,0.24,35,0.0,0.141,12.2,0.41,43.0,"green beans, raw",vegetable,,green beans
Cabbage,"cabbage, green, raw",75103000,5.8,0,2.5,1.28,3.2,0.017,0.017,0.034,0.1,40,0.019,0.47,12.0,26,170.0,18,0.18,5,0.0,0.124,36.6,0.15,76.0,"cabbage, green, raw",vegetable,,cabbage
Cucumber,"cucumber, raw",75111000,3.63,0,0.5,0.65,1.67,0.005,0.032,0.037,0.11,16,0.041,0.28,13.0,24,147.0,2,0.2,5,0.0,0.04,2.8,0.03,16.4,"cucumber, raw",vegetable,,cucumber
Eggplant,"eggplant, raw",75111200,5.88,0,3.0,0.98,3.53,0.016,0.076,0.034,0.18,9,0.081,0.23,14.0,24,229.0,2,0.16,1,0.0,0.084,2.2,0.3,3.5,"eggplant, raw",vegetable,egg_whole,eggplant
Lettuce,"lettuce, raw",75113000,2.92,0,1.2,1.13,1.38,0.006,0.078,0.019,0.14,27,0.027,0.64,10.0,24,168.0,19,0.16,198,0.0,0.066,6.0,0.2,75.2,"lettuce, raw",vegetable,,lettuce
Green peas,"green peas, raw",75120000,14.45,0,5.7,5.42,5.67,0.035,0.187,0.071,0.4,25,0.176,1.47,33.0,108,244.0,5,1.24,38,0.0,0.169,40.0,0.13,24.8,"green peas, raw",vegetable,,green peas
Pepper,"pepper, sweet, green, raw",75122100,4.64,0,1.7,0.86,2.4,0.008,0.062,0.058,0.17,10,0.066,0.34,10.0,20,175.0,3,0.13,18,0.0,0.224,80.4,0.37,7.4,"pepper, sweet, green, raw",vegetable,,pepper
Radish,"radish, raw",75125000,3.4,0,1.6,0.68,1.86,0.017,0.048,0.032,0.1,25,0.05,0.34,10.0,20,233.0,39,0.28,0,0.0,0.071,14.8,0.0,1.3,"radish, raw",vegetable,,radish
Grapefruit,"grapefruit, raw",61101010,10.66,0,1.6,0.77,6.89,0.02,0.036,0.021,0.14,22,0.032,0.08,9.0,18,135.0,0,0.07,58,0.0,0.053,31.2,0.13,0.0,"grapefruit, raw",fruit,,grapefruit
